WERSET,TREŚĆ,TAGI
Psalm 103:12,"Jak daleko jest wschód od zachodu, tak daleko Bóg odsunął od nas nasze przewinienia.","Jehowa, przebaczanie, grzechy, wina, przewinienia"
Izajasza 55:9,"„Jak niebo góruje nad ziemią, tak moje drogi górują nad waszymi drogami, a moje myśli — nad waszymi myślami.","Jehowa, myśli, człowiek, pozycja"
Kaznodziei 11:1,"Rzuć swój chleb na wodę, bo po wielu dniach znowu go znajdziesz.","życzliwość, uprzejmość, wzajemność, szczodrość"
1 Korytian 13:4-8,"4 Miłość jest cierpliwa i życzliwa. Nie jest zazdrosna, nie przechwala się, nie nadyma się, 5 nie zachowuje się nieprzyzwoicie, nie szuka własnych korzyści, nie daje się rozdrażnić. Nie prowadzi rachunku krzywd. 6 Nie cieszy się z nieprawości, ale raduje się prawdą. 7 Wszystko znosi, wszystkiemu wierzy, na wszystko ma nadzieję, wszystko przetrzymuje.

8 Miłość nigdy nie zawodzi.","miłość, definicja"
Galatów 6:5,Każdy przecież poniesie swój własny ciężar.,"odpowiedzialość, dojrzałość, sumienie, osądzanie"
Psalm 119:97,"O, jak bardzo kocham Twoje prawo! Cały dzień o nim rozmyślam.","analiza, Biblia, rozmyślanie"
Przysłów 8:10,Przyjmujcie moje pouczenia zmiast srebra i wiedzę zamiast najczystrzego złota.,"Biblia, mądrość, wiedza, cena, złoto, srebro, wartość"
Kolosan 3:13,"Jak Jehowa wspaniałomyślnie wam przebaczył, tak samo róbcie i wy","przebaczanie, Jehowa, wzór, zachęta"
Efezjan 4:32,"Bądźcie jedni dla drugich życzliwi, okazujcie serdeczne współczucie, wspaniałomyślnie przebaczajcie sobie nawzajem, jak i wam Bóg przez Chrystusa wspaniałomyślnie przebaczył.","przebaczanie, serdeczność, współczucie, wzór, Chrystus, Jezus"
Przysłów 12:19,"Bezmyślne słowa są jak pchnięcia mieczem, ale język mądrych jest lekarstwem.","mądrość, słowa, głupota, ból"
Efezjan 4:26,"Kiedy się rozgniewacie, nie grzeszcie. Nie pozwólcie, żeby słońce zaszło, gdy wciąż jesteście rozgniewani.","rozgniewanie, kłótnie, relacje"
Łukasza 12:16-21,"16Następnie opowiedział im przypowieść: „Pewien bogacz miał ziemię, która wydała obfite plony.17Zaczął się więc zastanawiać: ‚Co tu zrobić, skoro nie mam gdzie pomieścić plonów?’.18W końcu postanowił: ‚Zburzę swoje spichlerze i zbuduję większe, a potem zgromadzę w nich całe zboże i wszystkie dobra19i powiem sobie: „Masz wiele dóbr zebranych na wiele lat. Odpocznij sobie, jedz, pij i się ciesz”’.20Ale Bóg powiedział do niego: ‚Nierozsądny, jeszcze tej nocy umrzesz. I czyje będzie to, co nagromadziłeś?’.21Tak się dzieje z człowiekiem, który gromadzi skarb dla siebie, ale nie jest bogaty w oczach Boga”.","mądrość, pieniądze, przyszłość, bogactwo"
